@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2}

@data
1,'2019/12/08 21:58:45:258',1,1.02656,0.864011,0.873903,0.981562,0.228922,0.860353,0.003436,0.879911,1
2,'2019/12/08 21:58:45:303',1,1.02656,0.864011,0.873903,0.981562,0.228922,0.860353,0.003436,0.879911,1
3,'2019/12/08 21:58:45:306',1,1.02656,0.864011,0.873903,0.981562,0.228922,0.860353,0.003436,0.879911,1
4,'2019/12/08 21:58:45:353',1,1.028661,0.850403,0.891326,1.081298,0.230984,0.871575,0.00376,0.857828,1
5,'2019/12/08 21:58:45:358',1,1.028661,0.850403,0.891326,1.081298,0.230984,0.871575,0.00376,0.857828,1
6,'2019/12/08 21:58:45:407',1,1.028661,0.850403,0.891326,1.081298,0.230984,0.871575,0.00376,0.857828,1
7,'2019/12/08 21:58:45:411',1,1.028661,0.850403,0.891326,1.081298,0.230984,0.871575,0.00376,0.857828,1
8,'2019/12/08 21:58:45:454',1,1.028661,0.850403,0.891326,1.081298,0.230984,0.871575,0.00376,0.857828,1
9,'2019/12/08 21:58:45:457',1,1.028661,0.850403,0.891326,1.081298,0.230984,0.871575,0.00376,0.857828,1
10,'2019/12/08 21:58:45:504',1,1.028661,0.850403,0.891326,1.081298,0.230984,0.871575,0.00376,0.857828,1
11,'2019/12/08 21:58:45:508',1,1.028661,0.850403,0.891326,1.081298,0.230984,0.871575,0.00376,0.857828,1
12,'2019/12/08 21:58:45:553',1,1.028326,0.858339,0.869642,1.010514,0.240044,0.863114,0.002042,0.858324,1
13,'2019/12/08 21:58:45:556',1,1.028326,0.858339,0.869642,1.010514,0.240044,0.863114,0.002042,0.858324,1
14,'2019/12/08 21:58:45:604',1,1.028326,0.858339,0.869642,1.010514,0.240044,0.863114,0.002042,0.858324,1
15,'2019/12/08 21:58:45:606',1,1.028326,0.858339,0.869642,1.010514,0.240044,0.863114,0.002042,0.858324,1
16,'2019/12/08 21:58:45:653',1,1.028326,0.858339,0.869642,1.010514,0.240044,0.863114,0.002042,0.858324,1
17,'2019/12/08 21:58:45:656',1,1.028326,0.858339,0.869642,1.010514,0.240044,0.863114,0.002042,0.858324,1
18,'2019/12/08 21:58:45:703',1,1.028326,0.858339,0.869642,1.010514,0.240044,0.863114,0.002042,0.858324,1
19,'2019/12/08 21:58:45:706',1,1.028326,0.858339,0.869642,1.010514,0.240044,0.863114,0.002042,0.858324,1
20,'2019/12/08 21:58:45:753',1,1.036204,0.842432,0.862709,0.978379,0.231624,0.873745,0.034459,0.882135,1
21,'2019/12/08 21:58:45:756',1,1.036204,0.842432,0.862709,0.978379,0.231624,0.873745,0.034459,0.882135,1
22,'2019/12/08 21:58:45:805',1,1.036204,0.842432,0.862709,0.978379,0.231624,0.873745,0.034459,0.882135,1
23,'2019/12/08 21:58:45:810',1,1.036204,0.842432,0.862709,0.978379,0.231624,0.873745,0.034459,0.882135,1
24,'2019/12/08 21:58:45:855',1,1.036204,0.842432,0.862709,0.978379,0.231624,0.873745,0.034459,0.882135,1
25,'2019/12/08 21:58:45:859',1,1.036204,0.842432,0.862709,0.978379,0.231624,0.873745,0.034459,0.882135,1
26,'2019/12/08 21:58:45:904',1,1.036204,0.842432,0.862709,0.978379,0.231624,0.873745,0.034459,0.882135,1
27,'2019/12/08 21:58:45:906',1,1.036204,0.842432,0.862709,0.978379,0.231624,0.873745,0.034459,0.882135,1
28,'2019/12/08 21:58:45:954',1,0.241068,0.863266,0.003785,0.873748,1.041691,0.834757,0.659919,1.180074,1
29,'2019/12/08 21:58:45:957',1,0.241068,0.863266,0.003785,0.873748,1.041691,0.834757,0.659919,1.180074,1
30,'2019/12/08 21:58:46:003',1,0.241068,0.863266,0.003785,0.873748,1.041691,0.834757,0.659919,1.180074,1
31,'2019/12/08 21:58:46:007',1,0.241068,0.863266,0.003785,0.873748,1.041691,0.834757,0.659919,1.180074,1
32,'2019/12/08 21:58:46:055',1,0.241068,0.863266,0.003785,0.873748,1.041691,0.834757,0.659919,1.180074,1
33,'2019/12/08 21:58:46:060',1,0.241068,0.863266,0.003785,0.873748,1.041691,0.834757,0.659919,1.180074,1
34,'2019/12/08 21:58:46:105',1,0.231793,0.86858,0.001958,0.870794,1.030014,0.881809,0.587748,0.936053,1
35,'2019/12/08 21:58:46:108',1,0.231793,0.86858,0.001958,0.870794,1.030014,0.881809,0.587748,0.936053,1
36,'2019/12/08 21:58:46:159',1,0.231793,0.86858,0.001958,0.870794,1.030014,0.881809,0.587748,0.936053,1
37,'2019/12/08 21:58:46:162',1,0.231793,0.86858,0.001958,0.870794,1.030014,0.881809,0.587748,0.936053,1
38,'2019/12/08 21:58:46:204',1,0.231793,0.86858,0.001958,0.870794,1.030014,0.881809,0.587748,0.936053,1
39,'2019/12/08 21:58:46:207',1,0.231793,0.86858,0.001958,0.870794,1.030014,0.881809,0.587748,0.936053,1
40,'2019/12/08 21:58:46:256',1,0.231793,0.86858,0.001958,0.870794,1.030014,0.881809,0.587748,0.936053,1
41,'2019/12/08 21:58:46:262',1,0.231793,0.86858,0.001958,0.870794,1.030014,0.881809,0.587748,0.936053,1
42,'2019/12/08 21:58:46:304',1,0.216242,0.85701,0.002678,0.877526,0.990052,0.783251,0.580215,0.813336,1
43,'2019/12/08 21:58:46:307',1,0.216242,0.85701,0.002678,0.877526,0.990052,0.783251,0.580215,0.813336,1
44,'2019/12/08 21:58:46:354',1,0.216242,0.85701,0.002678,0.877526,0.990052,0.783251,0.580215,0.813336,1
45,'2019/12/08 21:58:46:357',1,0.216242,0.85701,0.002678,0.877526,0.990052,0.783251,0.580215,0.813336,1
46,'2019/12/08 21:58:46:405',1,0.216242,0.85701,0.002678,0.877526,0.990052,0.783251,0.580215,0.813336,1
47,'2019/12/08 21:58:46:408',1,0.216242,0.85701,0.002678,0.877526,0.990052,0.783251,0.580215,0.813336,1
48,'2019/12/08 21:58:46:456',1,0.216242,0.85701,0.002678,0.877526,0.990052,0.783251,0.580215,0.813336,1
49,'2019/12/08 21:58:46:460',1,0.216242,0.85701,0.002678,0.877526,0.990052,0.783251,0.580215,0.813336,1
50,'2019/12/08 21:58:46:505',1,0.217044,0.865323,0.005461,0.864927,0.982955,0.787002,0.588272,0.770879,1
51,'2019/12/08 21:58:46:507',1,0.217044,0.865323,0.005461,0.864927,0.982955,0.787002,0.588272,0.770879,1
52,'2019/12/08 21:58:46:557',1,0.217044,0.865323,0.005461,0.864927,0.982955,0.787002,0.588272,0.770879,1
53,'2019/12/08 21:58:46:561',1,0.217044,0.865323,0.005461,0.864927,0.982955,0.787002,0.588272,0.770879,1
54,'2019/12/08 21:58:46:605',1,0.217044,0.865323,0.005461,0.864927,0.982955,0.787002,0.588272,0.770879,1
55,'2019/12/08 21:58:46:608',1,0.217044,0.865323,0.005461,0.864927,0.982955,0.787002,0.588272,0.770879,1
56,'2019/12/08 21:58:46:656',1,0.217044,0.865323,0.005461,0.864927,0.982955,0.787002,0.588272,0.770879,1
57,'2019/12/08 21:58:46:661',1,0.217044,0.865323,0.005461,0.864927,0.982955,0.787002,0.588272,0.770879,1
58,'2019/12/08 21:58:46:705',1,0.238559,0.838451,0.000578,0.853678,0.963493,0.789484,0.593629,0.770432,1
59,'2019/12/08 21:58:46:708',1,0.238559,0.838451,0.000578,0.853678,0.963493,0.789484,0.593629,0.770432,1
60,'2019/12/08 21:58:46:754',1,0.238559,0.838451,0.000578,0.853678,0.963493,0.789484,0.593629,0.770432,1
61,'2019/12/08 21:58:46:757',1,0.238559,0.838451,0.000578,0.853678,0.963493,0.789484,0.593629,0.770432,1
62,'2019/12/08 21:58:46:805',1,0.238559,0.838451,0.000578,0.853678,0.963493,0.789484,0.593629,0.770432,1
63,'2019/12/08 21:58:46:808',1,0.238559,0.838451,0.000578,0.853678,0.963493,0.789484,0.593629,0.770432,1
64,'2019/12/08 21:58:46:855',1,0.238559,0.838451,0.000578,0.853678,0.963493,0.789484,0.593629,0.770432,1
65,'2019/12/08 21:58:46:859',1,0.238559,0.838451,0.000578,0.853678,0.963493,0.789484,0.593629,0.770432,1
66,'2019/12/08 21:58:46:905',1,0.216279,0.859428,0.004153,0.858409,0.952297,0.802264,0.587104,0.764768,1
67,'2019/12/08 21:58:46:907',1,0.216279,0.859428,0.004153,0.858409,0.952297,0.802264,0.587104,0.764768,1
68,'2019/12/08 21:58:46:956',1,0.216279,0.859428,0.004153,0.858409,0.952297,0.802264,0.587104,0.764768,1
69,'2019/12/08 21:58:46:962',1,0.216279,0.859428,0.004153,0.858409,0.952297,0.802264,0.587104,0.764768,1
70,'2019/12/08 21:58:47:004',1,0.216279,0.859428,0.004153,0.858409,0.952297,0.802264,0.587104,0.764768,1
71,'2019/12/08 21:58:47:008',1,0.216279,0.859428,0.004153,0.858409,0.952297,0.802264,0.587104,0.764768,1
72,'2019/12/08 21:58:47:056',1,0.216279,0.859428,0.004153,0.858409,0.952297,0.802264,0.587104,0.764768,1
73,'2019/12/08 21:58:47:061',1,0.216279,0.859428,0.004153,0.858409,0.952297,0.802264,0.587104,0.764768,1
74,'2019/12/08 21:58:47:108',1,0.216703,0.849011,0.000934,0.855053,0.996261,0.779658,0.597166,0.775476,1
75,'2019/12/08 21:58:47:112',1,0.216703,0.849011,0.000934,0.855053,0.996261,0.779658,0.597166,0.775476,1
76,'2019/12/08 21:58:47:158',1,0.216703,0.849011,0.000934,0.855053,0.996261,0.779658,0.597166,0.775476,1
77,'2019/12/08 21:58:47:161',1,0.216703,0.849011,0.000934,0.855053,0.996261,0.779658,0.597166,0.775476,1
78,'2019/12/08 21:58:47:207',1,0.216703,0.849011,0.000934,0.855053,0.996261,0.779658,0.597166,0.775476,1
79,'2019/12/08 21:58:47:213',1,0.216703,0.849011,0.000934,0.855053,0.996261,0.779658,0.597166,0.775476,1
80,'2019/12/08 21:58:47:256',1,0.216703,0.849011,0.000934,0.855053,0.996261,0.779658,0.597166,0.775476,1
81,'2019/12/08 21:58:47:260',1,0.216703,0.849011,0.000934,0.855053,0.996261,0.779658,0.597166,0.775476,1
82,'2019/12/08 21:58:47:305',1,0.216703,0.849011,0.000934,0.855053,0.996261,0.779658,0.597166,0.775476,1
83,'2019/12/08 21:58:47:308',1,0.216703,0.849011,0.000934,0.855053,0.996261,0.779658,0.597166,0.775476,1
84,'2019/12/08 21:58:47:357',1,0.220886,0.844789,0.001528,0.871203,0.998746,0.760744,0.620994,0.783331,1
85,'2019/12/08 21:58:47:360',1,0.220886,0.844789,0.001528,0.871203,0.998746,0.760744,0.620994,0.783331,1
86,'2019/12/08 21:58:47:406',1,0.220886,0.844789,0.001528,0.871203,0.998746,0.760744,0.620994,0.783331,1
87,'2019/12/08 21:58:47:412',1,0.220886,0.844789,0.001528,0.871203,0.998746,0.760744,0.620994,0.783331,1
88,'2019/12/08 21:58:47:456',1,0.220886,0.844789,0.001528,0.871203,0.998746,0.760744,0.620994,0.783331,1
89,'2019/12/08 21:58:47:460',1,0.220886,0.844789,0.001528,0.871203,0.998746,0.760744,0.620994,0.783331,1
90,'2019/12/08 21:58:47:505',1,0.220886,0.844789,0.001528,0.871203,0.998746,0.760744,0.620994,0.783331,1
91,'2019/12/08 21:58:47:508',1,0.220886,0.844789,0.001528,0.871203,0.998746,0.760744,0.620994,0.783331,1
92,'2019/12/08 21:58:47:557',1,0.220819,0.85572,0.00028,0.860249,0.99524,0.765012,0.62324,0.786104,1
93,'2019/12/08 21:58:47:560',1,0.220819,0.85572,0.00028,0.860249,0.99524,0.765012,0.62324,0.786104,1
94,'2019/12/08 21:58:47:605',1,0.220819,0.85572,0.00028,0.860249,0.99524,0.765012,0.62324,0.786104,1
95,'2019/12/08 21:58:47:609',1,0.220819,0.85572,0.00028,0.860249,0.99524,0.765012,0.62324,0.786104,1
96,'2019/12/08 21:58:47:656',1,0.220819,0.85572,0.00028,0.860249,0.99524,0.765012,0.62324,0.786104,1
97,'2019/12/08 21:58:47:660',1,0.220819,0.85572,0.00028,0.860249,0.99524,0.765012,0.62324,0.786104,1
98,'2019/12/08 21:58:47:705',1,0.220819,0.85572,0.00028,0.860249,0.99524,0.765012,0.62324,0.786104,1
99,'2019/12/08 21:58:47:709',1,0.216826,0.861078,0.00236,0.875659,0.939569,0.762531,0.622937,0.787672,1
100,'2019/12/08 21:58:47:755',1,0.216826,0.861078,0.00236,0.875659,0.939569,0.762531,0.622937,0.787672,1
101,'2019/12/08 21:58:47:758',1,0.216826,0.861078,0.00236,0.875659,0.939569,0.762531,0.622937,0.787672,1
102,'2019/12/08 21:58:47:805',1,0.216826,0.861078,0.00236,0.875659,0.939569,0.762531,0.622937,0.787672,1
103,'2019/12/08 21:58:47:808',1,0.216826,0.861078,0.00236,0.875659,0.939569,0.762531,0.622937,0.787672,1
104,'2019/12/08 21:58:47:867',1,0.216826,0.861078,0.00236,0.875659,0.939569,0.762531,0.622937,0.787672,1
105,'2019/12/08 21:58:47:870',1,0.216826,0.861078,0.00236,0.875659,0.939569,0.762531,0.622937,0.787672,1
106,'2019/12/08 21:58:47:905',1,0.216126,0.854463,-0.002951,0.868643,0.950538,0.766387,0.627975,0.792633,1
107,'2019/12/08 21:58:47:908',1,0.216126,0.854463,-0.002951,0.868643,0.950538,0.766387,0.627975,0.792633,1
108,'2019/12/08 21:58:47:956',1,0.216126,0.854463,-0.002951,0.868643,0.950538,0.766387,0.627975,0.792633,1
109,'2019/12/08 21:58:47:962',1,0.216126,0.854463,-0.002951,0.868643,0.950538,0.766387,0.627975,0.792633,1
110,'2019/12/08 21:58:48:005',1,0.216126,0.854463,-0.002951,0.868643,0.950538,0.766387,0.627975,0.792633,1
111,'2019/12/08 21:58:48:008',1,0.216126,0.854463,-0.002951,0.868643,0.950538,0.766387,0.627975,0.792633,1
112,'2019/12/08 21:58:48:057',1,0.216126,0.854463,-0.002951,0.868643,0.950538,0.766387,0.627975,0.792633,1
113,'2019/12/08 21:58:48:061',1,0.216126,0.854463,-0.002951,0.868643,0.950538,0.766387,0.627975,0.792633,1
114,'2019/12/08 21:58:48:107',1,0.214151,0.839763,0.002998,0.872067,0.996457,0.756976,0.62779,0.798046,1
115,'2019/12/08 21:58:48:109',1,0.214151,0.839763,0.002998,0.872067,0.996457,0.756976,0.62779,0.798046,1
116,'2019/12/08 21:58:48:158',1,0.214151,0.839763,0.002998,0.872067,0.996457,0.756976,0.62779,0.798046,1
117,'2019/12/08 21:58:48:161',1,0.214151,0.839763,0.002998,0.872067,0.996457,0.756976,0.62779,0.798046,1
118,'2019/12/08 21:58:48:206',1,0.214151,0.839763,0.002998,0.872067,0.996457,0.756976,0.62779,0.798046,1
119,'2019/12/08 21:58:48:210',1,0.214151,0.839763,0.002998,0.872067,0.996457,0.756976,0.62779,0.798046,1
120,'2019/12/08 21:58:48:256',1,0.214151,0.839763,0.002998,0.872067,0.996457,0.756976,0.62779,0.798046,1
121,'2019/12/08 21:58:48:260',1,0.214151,0.839763,0.002998,0.872067,0.996457,0.756976,0.62779,0.798046,1
122,'2019/12/08 21:58:48:305',1,0.217053,0.844196,0.002458,0.880651,0.999728,0.758586,0.622229,0.793192,1
123,'2019/12/08 21:58:48:307',1,0.217053,0.844196,0.002458,0.880651,0.999728,0.758586,0.622229,0.793192,1
124,'2019/12/08 21:58:48:356',1,0.217053,0.844196,0.002458,0.880651,0.999728,0.758586,0.622229,0.793192,1
125,'2019/12/08 21:58:48:360',1,0.217053,0.844196,0.002458,0.880651,0.999728,0.758586,0.622229,0.793192,1
126,'2019/12/08 21:58:48:406',1,0.217053,0.844196,0.002458,0.880651,0.999728,0.758586,0.622229,0.793192,1
127,'2019/12/08 21:58:48:411',1,0.217053,0.844196,0.002458,0.880651,0.999728,0.758586,0.622229,0.793192,1
128,'2019/12/08 21:58:48:455',1,0.221752,0.838463,0.005199,0.872485,0.998465,0.769692,0.611316,0.790712,1
129,'2019/12/08 21:58:48:458',1,0.221752,0.838463,0.005199,0.872485,0.998465,0.769692,0.611316,0.790712,1
130,'2019/12/08 21:58:48:507',1,0.221752,0.838463,0.005199,0.872485,0.998465,0.769692,0.611316,0.790712,1
131,'2019/12/08 21:58:48:511',1,0.221752,0.838463,0.005199,0.872485,0.998465,0.769692,0.611316,0.790712,1
132,'2019/12/08 21:58:48:556',1,0.221752,0.838463,0.005199,0.872485,0.998465,0.769692,0.611316,0.790712,1
133,'2019/12/08 21:58:48:560',1,0.221752,0.838463,0.005199,0.872485,0.998465,0.769692,0.611316,0.790712,1
134,'2019/12/08 21:58:48:605',1,0.221752,0.838463,0.005199,0.872485,0.998465,0.769692,0.611316,0.790712,1
135,'2019/12/08 21:58:48:610',1,0.221752,0.838463,0.005199,0.872485,0.998465,0.769692,0.611316,0.790712,1
