@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
1,'2019/12/13 10:57:38:751',1,0.980502,0.836675,0.636129,1.221499,0.813481,0.081981,0.383156,0.802033,0.151553,0.803589,0.221777,0.386844,358.743561,1
2,'2019/12/13 10:57:38:761',1,0.980502,0.836675,0.636129,1.221499,0.813481,0.081981,0.383156,0.802033,0.151553,0.803589,0.221777,0.386844,358.743561,1
3,'2019/12/13 10:57:38:801',1,0.967112,0.840555,0.68153,1.195893,0.817069,0.097222,0.33849,0.742091,0.164327,0.774284,0.218221,0.3836,357.625,1
4,'2019/12/13 10:57:38:813',1,0.967112,0.840555,0.68153,1.195893,0.817069,0.097222,0.33849,0.742091,0.164327,0.774284,0.218221,0.3836,357.625,1
5,'2019/12/13 10:57:38:852',1,0.967112,0.840555,0.68153,1.195893,0.817069,0.097222,0.33849,0.742091,0.164327,0.774284,0.218221,0.3836,357.625,1
6,'2019/12/13 10:57:38:863',1,0.967112,0.840555,0.68153,1.195893,0.817069,0.097222,0.33849,0.742091,0.164327,0.774284,0.218221,0.3836,357.625,1
7,'2019/12/13 10:57:38:900',1,0.967112,0.840555,0.68153,1.195893,0.817069,0.097222,0.33849,0.742091,0.164327,0.774284,0.218221,0.3836,357.625,1
8,'2019/12/13 10:57:38:913',1,0.967112,0.840555,0.68153,1.195893,0.817069,0.097222,0.33849,0.742091,0.164327,0.774284,0.218221,0.3836,357.625,1
9,'2019/12/13 10:57:38:952',1,0.967112,0.840555,0.68153,1.195893,0.817069,0.097222,0.33849,0.742091,0.164327,0.774284,0.218221,0.3836,357.625,1
10,'2019/12/13 10:57:38:956',1,0.967112,0.840555,0.68153,1.195893,0.817069,0.097222,0.33849,0.742091,0.164327,0.774284,0.218221,0.3836,357.625,1
11,'2019/12/13 10:57:39:001',1,0.962264,0.845393,0.635036,1.220613,0.814362,0.10901,0.214957,0.664046,0.207773,0.627447,0.220831,0.386326,360.271027,1
12,'2019/12/13 10:57:39:004',1,0.962264,0.845393,0.635036,1.220613,0.814362,0.10901,0.214957,0.664046,0.207773,0.627447,0.220831,0.386326,360.271027,1
13,'2019/12/13 10:57:39:050',1,0.962264,0.845393,0.635036,1.220613,0.814362,0.10901,0.214957,0.664046,0.207773,0.627447,0.220831,0.386326,360.271027,1
14,'2019/12/13 10:57:39:052',1,0.962264,0.845393,0.635036,1.220613,0.814362,0.10901,0.214957,0.664046,0.207773,0.627447,0.220831,0.386326,360.271027,1
15,'2019/12/13 10:57:39:101',1,0.962264,0.845393,0.635036,1.220613,0.814362,0.10901,0.214957,0.664046,0.207773,0.627447,0.220831,0.386326,360.271027,1
16,'2019/12/13 10:57:39:104',1,0.962264,0.845393,0.635036,1.220613,0.814362,0.10901,0.214957,0.664046,0.207773,0.627447,0.220831,0.386326,360.271027,1
17,'2019/12/13 10:57:39:151',1,0.962264,0.845393,0.635036,1.220613,0.814362,0.10901,0.214957,0.664046,0.207773,0.627447,0.220831,0.386326,360.271027,1
18,'2019/12/13 10:57:39:154',1,0.962264,0.845393,0.635036,1.220613,0.814362,0.10901,0.214957,0.664046,0.207773,0.627447,0.220831,0.386326,360.271027,1
19,'2019/12/13 10:57:39:201',1,0.962264,0.845393,0.635036,1.220613,0.814362,0.10901,0.214957,0.664046,0.207773,0.627447,0.220831,0.386326,360.271027,1
20,'2019/12/13 10:57:39:205',1,0.963796,0.878781,0.687301,1.239875,0.799658,0.106261,0.207261,0.648087,0.233675,0.637931,0.221227,0.387624,359.558594,1
21,'2019/12/13 10:57:39:253',1,0.963796,0.878781,0.687301,1.239875,0.799658,0.106261,0.207261,0.648087,0.233675,0.637931,0.221227,0.387624,359.558594,1
22,'2019/12/13 10:57:39:255',1,0.963796,0.878781,0.687301,1.239875,0.799658,0.106261,0.207261,0.648087,0.233675,0.637931,0.221227,0.387624,359.558594,1
23,'2019/12/13 10:57:39:301',1,0.963796,0.878781,0.687301,1.239875,0.799658,0.106261,0.207261,0.648087,0.233675,0.637931,0.221227,0.387624,359.558594,1
24,'2019/12/13 10:57:39:303',1,0.963796,0.878781,0.687301,1.239875,0.799658,0.106261,0.207261,0.648087,0.233675,0.637931,0.221227,0.387624,359.558594,1
25,'2019/12/13 10:57:39:351',1,0.963796,0.878781,0.687301,1.239875,0.799658,0.106261,0.207261,0.648087,0.233675,0.637931,0.221227,0.387624,359.558594,1
26,'2019/12/13 10:57:39:354',1,0.963796,0.878781,0.687301,1.239875,0.799658,0.106261,0.207261,0.648087,0.233675,0.637931,0.221227,0.387624,359.558594,1
27,'2019/12/13 10:57:39:401',1,0.275932,0.6735,0.206979,0.624732,0.237975,0.386598,0.955452,0.837774,0.671084,0.909467,0.821973,0.040606,354.678741,1
28,'2019/12/13 10:57:39:403',1,0.275932,0.6735,0.206979,0.624732,0.237975,0.386598,0.955452,0.837774,0.671084,0.909467,0.821973,0.040606,354.678741,1
29,'2019/12/13 10:57:39:459',1,0.275932,0.6735,0.206979,0.624732,0.237975,0.386598,0.955452,0.837774,0.671084,0.909467,0.821973,0.040606,354.678741,1
30,'2019/12/13 10:57:39:461',1,0.275932,0.6735,0.206979,0.624732,0.237975,0.386598,0.955452,0.837774,0.671084,0.909467,0.821973,0.040606,354.678741,1
31,'2019/12/13 10:57:39:501',1,0.275932,0.6735,0.206979,0.624732,0.237975,0.386598,0.955452,0.837774,0.671084,0.909467,0.821973,0.040606,354.678741,1
32,'2019/12/13 10:57:39:503',1,0.275932,0.6735,0.206979,0.624732,0.237975,0.386598,0.955452,0.837774,0.671084,0.909467,0.821973,0.040606,354.678741,1
33,'2019/12/13 10:57:39:551',1,0.275932,0.6735,0.206979,0.624732,0.237975,0.386598,0.955452,0.837774,0.671084,0.909467,0.821973,0.040606,354.678741,1
34,'2019/12/13 10:57:39:554',1,0.275932,0.6735,0.206979,0.624732,0.237975,0.386598,0.955452,0.837774,0.671084,0.909467,0.821973,0.040606,354.678741,1
35,'2019/12/13 10:57:39:601',1,0.241499,0.7186,0.181168,0.739592,0.217906,0.381328,0.980637,0.782739,0.669146,0.800761,0.824383,0.013047,366.27121,1
36,'2019/12/13 10:57:39:603',1,0.241499,0.7186,0.181168,0.739592,0.217906,0.381328,0.980637,0.782739,0.669146,0.800761,0.824383,0.013047,366.27121,1
37,'2019/12/13 10:57:39:650',1,0.241499,0.7186,0.181168,0.739592,0.217906,0.381328,0.980637,0.782739,0.669146,0.800761,0.824383,0.013047,366.27121,1
38,'2019/12/13 10:57:39:652',1,0.241499,0.7186,0.181168,0.739592,0.217906,0.381328,0.980637,0.782739,0.669146,0.800761,0.824383,0.013047,366.27121,1
39,'2019/12/13 10:57:39:701',1,0.241499,0.7186,0.181168,0.739592,0.217906,0.381328,0.980637,0.782739,0.669146,0.800761,0.824383,0.013047,366.27121,1
40,'2019/12/13 10:57:39:704',1,0.241499,0.7186,0.181168,0.739592,0.217906,0.381328,0.980637,0.782739,0.669146,0.800761,0.824383,0.013047,366.27121,1
41,'2019/12/13 10:57:39:751',1,0.241499,0.7186,0.181168,0.739592,0.217906,0.381328,0.980637,0.782739,0.669146,0.800761,0.824383,0.013047,366.27121,1
42,'2019/12/13 10:57:39:754',1,0.241499,0.7186,0.181168,0.739592,0.217906,0.381328,0.980637,0.782739,0.669146,0.800761,0.824383,0.013047,366.27121,1
43,'2019/12/13 10:57:39:800',1,0.339958,0.694403,0.148367,0.800156,0.222079,0.386971,0.975019,0.728282,0.673249,0.728244,0.835566,0.033029,372.926056,1
44,'2019/12/13 10:57:39:802',1,0.339958,0.694403,0.148367,0.800156,0.222079,0.386971,0.975019,0.728282,0.673249,0.728244,0.835566,0.033029,372.926056,1
45,'2019/12/13 10:57:39:850',1,0.339958,0.694403,0.148367,0.800156,0.222079,0.386971,0.975019,0.728282,0.673249,0.728244,0.835566,0.033029,372.926056,1
46,'2019/12/13 10:57:39:852',1,0.339958,0.694403,0.148367,0.800156,0.222079,0.386971,0.975019,0.728282,0.673249,0.728244,0.835566,0.033029,372.926056,1
47,'2019/12/13 10:57:39:901',1,0.339958,0.694403,0.148367,0.800156,0.222079,0.386971,0.975019,0.728282,0.673249,0.728244,0.835566,0.033029,372.926056,1
48,'2019/12/13 10:57:39:903',1,0.339958,0.694403,0.148367,0.800156,0.222079,0.386971,0.975019,0.728282,0.673249,0.728244,0.835566,0.033029,372.926056,1
49,'2019/12/13 10:57:39:951',1,0.339958,0.694403,0.148367,0.800156,0.222079,0.386971,0.975019,0.728282,0.673249,0.728244,0.835566,0.033029,372.926056,1
50,'2019/12/13 10:57:39:954',1,0.339958,0.694403,0.148367,0.800156,0.222079,0.386971,0.975019,0.728282,0.673249,0.728244,0.835566,0.033029,372.926056,1
51,'2019/12/13 10:57:40:001',1,0.973101,0.719022,0.685868,0.712511,0.838649,0.062987,0.379815,0.733477,0.154349,0.804688,0.226188,0.393179,367.401154,1
52,'2019/12/13 10:57:40:002',1,0.973101,0.719022,0.685868,0.712511,0.838649,0.062987,0.379815,0.733477,0.154349,0.804688,0.226188,0.393179,367.401154,1
53,'2019/12/13 10:57:40:050',1,0.973101,0.719022,0.685868,0.712511,0.838649,0.062987,0.379815,0.733477,0.154349,0.804688,0.226188,0.393179,367.401154,1
54,'2019/12/13 10:57:40:052',1,0.973101,0.719022,0.685868,0.712511,0.838649,0.062987,0.379815,0.733477,0.154349,0.804688,0.226188,0.393179,367.401154,1
55,'2019/12/13 10:57:40:101',1,0.973101,0.719022,0.685868,0.712511,0.838649,0.062987,0.379815,0.733477,0.154349,0.804688,0.226188,0.393179,367.401154,1
56,'2019/12/13 10:57:40:104',1,0.973101,0.719022,0.685868,0.712511,0.838649,0.062987,0.379815,0.733477,0.154349,0.804688,0.226188,0.393179,367.401154,1
57,'2019/12/13 10:57:40:150',1,0.973101,0.719022,0.685868,0.712511,0.838649,0.062987,0.379815,0.733477,0.154349,0.804688,0.226188,0.393179,367.401154,1
58,'2019/12/13 10:57:40:151',1,0.973101,0.719022,0.685868,0.712511,0.838649,0.062987,0.379815,0.733477,0.154349,0.804688,0.226188,0.393179,367.401154,1
59,'2019/12/13 10:57:40:252',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
60,'2019/12/13 10:57:40:255',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
61,'2019/12/13 10:57:40:303',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
62,'2019/12/13 10:57:40:305',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
63,'2019/12/13 10:57:40:351',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
