@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute outputs-1 numeric

@data
1,'2019/11/12 12:11:23:957',1,0.715082,0.276687,0.729367,0.271924,0.713031,0.274326,0.731635,0.279094,0.697646,0.273245,0.762495,0.363588,0.676974,0.361999,0.794673,0.493321,0.652834,0.478938,0.80732,0.594314,0.661658,0.588572,0.746557,0.585296,0.686734,0.581436,0.74665,0.752307,0.694887,0.748655,0.759656,0.865103,0.699193,0.856599,?
2,'2019/11/12 12:11:23:974',1,0.715082,0.276687,0.729367,0.271924,0.713031,0.274326,0.731635,0.279094,0.697646,0.273245,0.762495,0.363588,0.676974,0.361999,0.794673,0.493321,0.652834,0.478938,0.80732,0.594314,0.661658,0.588572,0.746557,0.585296,0.686734,0.581436,0.74665,0.752307,0.694887,0.748655,0.759656,0.865103,0.699193,0.856599,?
3,'2019/11/12 12:11:23:990',1,0.715082,0.276687,0.729367,0.271924,0.713031,0.274326,0.731635,0.279094,0.697646,0.273245,0.762495,0.363588,0.676974,0.361999,0.794673,0.493321,0.652834,0.478938,0.80732,0.594314,0.661658,0.588572,0.746557,0.585296,0.686734,0.581436,0.74665,0.752307,0.694887,0.748655,0.759656,0.865103,0.699193,0.856599,?
4,'2019/11/12 12:11:24:007',1,0.715082,0.276687,0.729367,0.271924,0.713031,0.274326,0.731635,0.279094,0.697646,0.273245,0.762495,0.363588,0.676974,0.361999,0.794673,0.493321,0.652834,0.478938,0.80732,0.594314,0.661658,0.588572,0.746557,0.585296,0.686734,0.581436,0.74665,0.752307,0.694887,0.748655,0.759656,0.865103,0.699193,0.856599,?
5,'2019/11/12 12:11:24:026',1,0.715082,0.276687,0.729367,0.271924,0.713031,0.274326,0.731635,0.279094,0.697646,0.273245,0.762495,0.363588,0.676974,0.361999,0.794673,0.493321,0.652834,0.478938,0.80732,0.594314,0.661658,0.588572,0.746557,0.585296,0.686734,0.581436,0.74665,0.752307,0.694887,0.748655,0.759656,0.865103,0.699193,0.856599,?
6,'2019/11/12 12:11:24:042',1,0.715082,0.276687,0.729367,0.271924,0.713031,0.274326,0.731635,0.279094,0.697646,0.273245,0.762495,0.363588,0.676974,0.361999,0.794673,0.493321,0.652834,0.478938,0.80732,0.594314,0.661658,0.588572,0.746557,0.585296,0.686734,0.581436,0.74665,0.752307,0.694887,0.748655,0.759656,0.865103,0.699193,0.856599,?
7,'2019/11/12 12:11:24:058',1,0.715082,0.276687,0.729367,0.271924,0.713031,0.274326,0.731635,0.279094,0.697646,0.273245,0.762495,0.363588,0.676974,0.361999,0.794673,0.493321,0.652834,0.478938,0.80732,0.594314,0.661658,0.588572,0.746557,0.585296,0.686734,0.581436,0.74665,0.752307,0.694887,0.748655,0.759656,0.865103,0.699193,0.856599,?
8,'2019/11/12 12:11:24:075',1,0.717489,0.275454,0.729789,0.271299,0.720351,0.268841,0.733756,0.279808,0.699289,0.273364,0.762245,0.354604,0.679087,0.364912,0.788452,0.497043,0.65192,0.476723,0.793586,0.60223,0.644892,0.584116,0.750383,0.587078,0.688925,0.581692,0.74978,0.754882,0.700357,0.753271,0.761676,0.862941,0.7006,0.853254,?
9,'2019/11/12 12:11:24:091',1,0.717489,0.275454,0.729789,0.271299,0.720351,0.268841,0.733756,0.279808,0.699289,0.273364,0.762245,0.354604,0.679087,0.364912,0.788452,0.497043,0.65192,0.476723,0.793586,0.60223,0.644892,0.584116,0.750383,0.587078,0.688925,0.581692,0.74978,0.754882,0.700357,0.753271,0.761676,0.862941,0.7006,0.853254,?
10,'2019/11/12 12:11:24:109',1,0.717489,0.275454,0.729789,0.271299,0.720351,0.268841,0.733756,0.279808,0.699289,0.273364,0.762245,0.354604,0.679087,0.364912,0.788452,0.497043,0.65192,0.476723,0.793586,0.60223,0.644892,0.584116,0.750383,0.587078,0.688925,0.581692,0.74978,0.754882,0.700357,0.753271,0.761676,0.862941,0.7006,0.853254,?
